P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
130.19,127.37,140.66,127.85,128.09
89.74,86.85,97.99,86.97,85.52
91.67,86.42,100.36,86.8,85.51
90.59,86.34,98.4,86.76,85.43
90.2,86.08,97.94,87.39,85.94
91.16,87.43,97.11,87.0,85.62
90.04,86.98,97.15,89.56,85.71
90.79,86.28,97.24,87.02,85.6
91.75,86.83,97.11,87.1,87.69
89.86,85.83,98.36,87.52,85.55
91.04,86.23,98.16,87.62,85.61
93.61,85.9,96.95,87.12,85.52
91.53,86.67,96.86,88.14,85.8
90.4,86.73,99.98,87.3,85.56
90.14,86.16,97.51,87.19,85.55
90.0,86.08,98.75,87.15,85.59
90.61,85.83,97.07,88.71,85.58
90.2,86.47,97.04,87.36,85.51
89.58,87.34,97.23,87.24,86.3
90.09,86.18,96.64,87.17,85.46
89.95,87.5,96.61,87.38,85.49
90.5,85.84,96.72,89.48,85.61
90.64,85.88,97.45,87.3,86.14
90.35,85.81,96.34,87.43,85.54
90.98,85.9,96.75,90.93,85.78
90.88,85.73,97.25,88.88,85.41
89.6,85.98,97.99,88.96,85.71
91.72,85.99,96.22,87.66,86.51
89.81,86.5,96.18,88.64,86.87
89.81,86.17,96.47,87.25,85.56
90.4,85.81,97.9,87.59,85.72
90.08,85.86,96.47,87.19,85.82
89.67,85.77,96.32,87.31,85.5
90.11,85.83,96.62,87.41,85.43
89.31,87.65,96.75,88.38,85.63
89.33,85.86,96.64,87.35,85.57
90.03,86.0,96.89,87.43,85.48
89.86,85.91,96.56,88.51,85.79
89.89,85.68,96.67,87.25,85.63
89.97,85.81,96.55,87.23,85.47
89.51,86.32,97.69,87.78,85.73
89.28,86.06,96.72,87.16,85.45
89.52,85.93,96.8,87.37,86.48
89.33,85.82,96.13,86.98,86.4
89.35,85.76,96.41,86.79,85.75
89.33,85.71,98.43,86.9,85.44
89.27,86.13,96.53,87.17,85.42
89.64,85.96,96.56,88.75,86.28
89.25,85.93,96.64,87.75,85.49
89.28,86.1,96.62,86.96,85.59
89.25,85.94,96.65,87.07,85.68
89.27,86.05,96.58,87.06,85.85
89.57,87.97,96.41,87.39,85.54
89.17,85.8,96.47,87.27,85.81
89.2,87.03,96.86,87.0,85.85
89.1,85.78,96.65,87.37,85.62
89.48,85.91,97.12,86.91,85.5
89.98,85.84,96.67,86.8,85.38
89.73,87.03,96.69,87.75,85.62
89.27,86.13,96.71,87.21,85.57
89.24,86.01,98.2,87.25,85.41
89.31,86.12,96.83,87.22,85.8
89.11,88.46,99.57,87.29,85.67
90.84,86.28,96.93,87.46,86.26
92.18,86.36,96.81,86.99,85.69
89.66,85.92,96.63,88.22,85.67
89.14,87.4,96.89,87.14,85.57
89.35,87.38,96.81,87.04,85.38
89.88,87.48,97.23,86.99,87.71
90.02,90.11,96.79,87.06,85.5
89.68,87.66,97.64,87.11,85.68
89.43,86.53,96.57,87.11,85.82
89.24,86.2,96.68,88.12,85.78
89.38,86.39,96.47,87.05,85.41
90.44,86.3,96.33,87.04,86.33
89.59,86.02,96.5,87.02,85.7
89.52,86.26,99.34,87.59,85.7
89.43,85.91,96.53,87.12,85.75
89.5,85.98,96.41,87.09,85.79
89.08,88.22,97.34,87.38,85.51
89.36,86.38,99.27,86.97,85.86
91.05,86.33,96.75,87.48,85.35
89.39,86.19,96.86,91.27,85.42
89.26,85.86,97.69,87.27,85.43
89.16,85.72,96.43,88.4,85.99
89.57,85.82,97.78,87.16,85.46
89.38,85.82,96.81,87.29,85.78
89.76,86.01,96.73,87.05,85.48
89.17,86.75,96.38,87.11,86.47
89.74,85.83,96.3,87.16,85.45
91.98,85.82,100.63,87.06,85.7
89.96,85.75,101.12,87.09,85.64
89.27,85.77,97.35,3670.4,85.43
89.78,85.89,96.35,87.01,85.44
89.23,86.32,96.64,87.01,85.28
89.11,86.22,97.9,87.09,86.64
89.66,85.83,97.47,87.14,85.56
89.9,86.13,96.74,87.11,85.43
89.19,86.01,96.45,87.08,85.7
89.36,85.94,97.01,87.34,85.52
89.29,86.93,100.25,87.25,85.44
90.08,85.89,97.04,87.17,85.61
89.35,85.67,96.6,86.96,85.67
3673.55,85.69,97.18,87.17,86.86
89.5,85.77,101.89,86.87,85.67
89.42,86.74,97.55,87.27,85.43
89.31,89.17,96.88,87.45,85.59
89.22,85.92,96.81,87.14,85.39
89.65,86.27,96.54,86.91,3669.38
89.18,3669.32,99.04,87.12,85.54
89.14,85.69,97.12,87.08,85.55
89.41,85.94,96.72,87.06,85.73
89.06,85.65,96.56,87.06,85.62
89.07,88.35,99.28,87.16,85.48
89.34,85.86,100.03,86.96,86.16
90.16,85.96,97.12,87.76,85.44
90.17,85.82,96.49,87.02,85.6
89.54,85.77,3681.09,87.9,85.52
89.38,85.73,96.56,87.43,85.71
89.16,85.88,96.75,87.19,85.53
89.18,86.01,96.87,87.11,85.71
89.22,85.96,96.82,87.76,85.45
89.17,85.98,96.59,87.19,85.84
89.47,85.65,96.78,87.05,86.87
90.56,85.77,96.71,88.32,85.73
89.52,85.67,97.11,87.14,86.09
89.28,85.82,98.1,87.28,85.6
91.5,87.56,97.16,87.1,85.76
89.09,85.97,96.32,87.06,85.5
89.25,85.72,97.71,87.05,85.46
89.45,85.67,97.66,89.15,85.6
89.18,85.68,97.26,87.28,85.44
89.54,85.86,100.9,87.14,88.1
89.42,85.85,97.34,86.81,85.63
89.27,86.01,97.24,87.04,85.74
89.18,86.2,97.29,86.98,85.51
89.34,85.82,97.11,87.29,85.51
89.29,86.19,96.5,87.34,86.47
91.14,88.35,96.8,87.16,85.84
89.35,86.0,104.75,86.94,85.76
89.13,85.84,97.4,86.65,85.57
90.32,85.77,96.59,87.08,85.59
89.62,87.71,96.49,87.29,85.7
89.6,85.75,96.52,87.2,85.66
89.21,85.96,96.63,86.65,86.52
89.21,86.35,98.19,86.97,85.52
89.26,85.92,97.14,87.05,86.15
89.39,85.75,96.44,87.38,85.57
89.22,85.75,99.34,87.09,85.65
89.8,86.05,96.56,87.16,87.38
89.31,87.0,97.4,86.67,85.56
89.29,86.27,96.85,89.13,86.48
89.25,85.89,96.37,87.65,85.47
89.38,85.83,97.03,87.11,85.48
89.76,86.01,96.55,87.07,85.92
89.33,85.76,96.69,87.96,85.67
89.22,85.85,96.97,86.92,85.55
89.43,87.65,96.72,87.0,85.41
89.28,85.83,96.64,87.84,85.79
89.91,85.78,96.52,87.35,85.96
89.37,85.81,97.41,87.27,85.53
89.37,85.62,96.77,87.36,85.52
89.32,86.47,96.79,88.68,88.31
89.25,85.72,96.39,87.11,85.82
89.3,85.96,96.25,87.0,85.91
89.09,85.73,97.18,87.27,85.48
89.72,85.82,96.81,87.45,85.45
89.48,85.95,96.44,87.04,85.42
89.22,87.75,96.49,87.35,85.63
89.2,86.31,96.48,86.89,85.52
89.42,85.93,97.52,87.37,85.56
89.28,85.77,96.62,87.1,85.44
89.33,85.71,96.47,87.3,85.55
89.7,86.16,100.63,87.25,86.67
89.18,86.01,96.68,87.16,85.79
89.3,86.02,96.61,87.06,85.4
89.49,85.82,96.65,87.17,85.61
89.58,85.69,100.68,89.76,85.5
90.7,85.88,96.59,86.98,85.48
89.39,85.72,96.71,86.92,85.96
89.03,85.53,96.73,86.95,85.57
89.27,85.87,96.31,87.11,86.34
89.05,85.99,96.43,88.39,85.56
89.3,86.27,96.62,87.15,86.49
89.44,85.87,96.85,87.06,85.73
89.25,88.07,96.42,86.94,85.53
89.31,85.85,97.11,87.0,85.61
89.5,86.28,96.44,87.03,85.4
91.55,86.04,96.29,88.72,85.53
89.16,86.12,96.66,86.92,85.64
89.89,85.91,96.87,87.17,85.63
89.24,85.81,96.69,87.02,85.54
89.43,85.75,96.6,86.97,85.44
89.36,88.39,96.53,87.09,85.75
89.27,86.27,96.69,87.27,85.91
89.32,85.95,96.8,89.16,85.66
89.23,85.8,96.55,88.23,85.51
89.13,85.99,96.67,87.16,85.95
88.94,85.62,99.91,87.14,85.53
89.13,85.92,97.56,87.18,86.09
90.24,86.04,98.8,86.97,85.74
89.57,86.02,96.86,87.21,85.67
89.29,85.88,97.26,87.52,85.55
89.56,85.65,97.07,86.98,86.33
89.47,85.89,96.66,87.19,86.09
89.97,86.5,97.11,86.89,85.8
89.33,86.55,97.12,87.06,85.6
89.22,85.92,96.61,87.07,85.47
89.52,86.13,96.97,87.22,85.55
89.47,85.68,97.34,86.86,87.37
88.86,85.86,96.61,87.06,85.63
90.5,85.97,96.58,86.9,85.61
89.28,86.06,96.61,87.0,85.75
89.33,85.89,96.76,89.85,85.49
89.42,86.27,97.12,87.67,85.59
88.96,85.77,96.52,87.16,86.2
89.12,85.86,96.85,87.02,85.58
90.36,85.89,96.6,87.26,86.47
89.43,85.85,96.73,87.04,85.67
90.61,86.04,96.72,89.76,86.39
89.38,85.68,97.86,87.26,85.62
89.19,85.82,102.52,87.37,86.54
89.18,85.57,96.54,86.92,85.71
90.14,85.8,96.64,87.1,85.55
89.94,86.36,99.79,88.25,85.85
89.95,85.9,97.23,87.08,86.57
90.14,85.66,96.43,87.66,85.79
89.34,85.81,96.47,87.29,85.67
88.93,86.01,96.54,87.64,85.51
89.68,86.02,96.38,87.06,85.44
89.45,86.18,96.97,87.36,86.26
89.8,85.89,96.76,88.05,85.59
89.34,85.8,96.57,87.12,85.88
89.43,85.78,96.68,89.98,86.31
89.18,85.82,99.13,87.79,85.99
89.75,86.02,96.31,87.53,85.66
89.14,85.85,97.57,89.3,86.46
89.27,85.79,98.23,87.94,85.89
89.17,85.89,96.81,87.69,88.62
89.14,85.69,96.48,88.2,86.38
89.2,85.74,96.96,88.21,87.18
89.23,85.76,96.66,88.4,86.34
89.33,86.29,96.55,87.66,86.44
89.21,85.98,96.84,88.12,85.78
89.17,85.66,97.63,87.74,86.26
89.1,85.96,99.6,87.65,86.59
89.89,86.02,96.92,87.82,85.69
89.54,85.74,96.39,88.04,86.16
89.24,85.88,96.62,88.06,85.87
90.37,86.02,96.73,90.49,86.62
89.12,85.58,96.93,87.63,85.77
89.26,85.58,96.94,87.77,86.91
89.44,85.73,99.15,87.55,87.69
89.48,85.83,96.69,88.47,86.57
89.62,85.88,98.02,87.69,87.53
89.33,85.87,99.76,87.98,86.09
89.15,85.57,97.79,87.85,85.62
89.54,85.73,98.21,87.61,85.88
89.58,85.86,97.21,87.58,86.78
89.37,86.51,97.99,89.44,86.32
89.44,85.95,97.67,87.7,86.0
90.27,85.89,97.12,88.21,85.85
91.37,85.81,99.8,87.67,85.69
89.45,85.76,97.53,87.51,86.85
88.97,85.95,96.77,87.01,85.75
89.19,85.93,102.35,87.5,85.56
90.28,86.04,97.74,87.04,86.54
89.89,85.87,99.78,87.3,86.96
90.32,85.79,99.38,87.65,86.03
89.37,86.05,98.33,88.56,87.73
89.47,85.56,98.06,87.16,85.69
89.36,85.92,98.49,87.22,85.97
89.64,85.85,98.53,88.68,86.77
89.83,85.83,99.03,87.55,85.99
89.15,85.57,97.35,87.79,85.82
88.94,85.72,99.3,87.14,86.83
89.16,85.83,98.49,88.14,85.59
89.31,86.38,97.77,87.09,85.68
89.57,85.91,97.59,87.47,87.58
89.7,85.92,97.46,86.99,85.81
89.09,85.64,97.37,87.13,85.38
91.22,85.76,99.58,87.24,85.96
89.62,86.95,100.63,87.27,87.63
92.47,87.13,98.23,87.14,85.51
89.35,85.75,98.57,87.03,85.59
89.19,85.88,97.84,87.13,85.52
89.4,85.92,97.41,88.28,85.42
89.04,85.86,97.57,87.3,85.41
89.71,85.63,97.36,87.06,86.33
89.39,86.08,97.01,87.05,86.42
89.28,86.25,98.02,87.06,85.57
90.19,86.75,97.23,87.06,87.31
89.2,85.99,98.12,88.07,86.99
91.68,85.82,96.96,89.66,88.22
89.86,86.08,97.41,87.15,86.12
89.58,85.84,97.4,87.54,88.3
90.88,86.17,97.79,87.02,85.91
89.69,86.2,97.83,87.05,87.82
89.91,86.01,97.34,86.87,85.67
89.85,86.17,99.61,86.89,86.9
89.12,86.56,99.2,87.09,85.75
89.82,86.38,98.79,87.33,85.51
89.72,86.34,97.72,90.31,86.73
89.83,86.19,97.22,87.17,85.72
89.82,86.14,97.76,86.86,85.59
89.76,86.41,97.12,86.78,86.01
89.71,86.25,96.74,86.79,86.75
89.8,86.51,97.37,87.19,86.24
91.16,86.52,96.79,87.29,85.77
93.06,87.59,97.14,87.11,85.75
89.84,86.45,101.33,87.03,85.89
89.69,86.28,100.34,87.07,85.82
90.88,87.84,99.51,87.38,86.23
90.79,86.28,96.94,87.16,85.6
90.99,86.18,97.04,88.14,85.57
90.38,86.19,101.86,87.29,85.56
89.58,86.05,96.89,86.78,85.61
90.84,86.63,96.66,86.9,85.39
89.77,86.29,96.81,86.74,85.6
91.34,86.32,96.94,87.0,85.51
91.38,86.32,99.68,89.92,85.41
90.15,86.24,96.94,87.32,85.97
89.99,87.82,96.75,86.93,86.16
89.47,86.05,101.22,86.71,85.4
89.65,86.13,99.44,86.83,85.71
89.61,86.09,97.05,86.84,85.46
90.32,86.54,97.46,86.93,85.55
90.6,86.55,97.25,87.18,85.56
90.35,86.32,97.11,87.09,85.78
90.95,87.31,96.83,87.05,86.6
91.57,86.55,96.59,87.12,85.57
90.94,85.66,96.59,87.01,85.75
89.96,86.42,96.26,87.68,85.39
90.26,86.37,96.5,87.11,85.39
95.02,85.85,96.54,86.86,85.44
90.2,86.0,97.2,87.01,85.57
90.1,86.32,96.75,87.11,85.33
89.5,86.05,96.91,88.44,85.35
89.64,87.29,96.62,87.57,85.59
92.73,86.21,96.65,87.03,87.97
90.93,86.0,97.62,87.15,85.99
90.4,85.81,96.79,88.19,85.48
89.92,85.79,97.02,87.17,85.53
90.57,85.46,96.5,87.66,85.57
90.79,86.48,96.72,87.12,85.42
90.16,85.84,97.82,87.01,85.35
90.5,85.86,96.71,86.74,85.81
90.67,85.62,96.64,87.15,85.84
90.51,85.69,96.6,86.96,85.57
95.81,85.62,97.0,87.07,85.38
90.36,85.92,97.36,87.06,85.58
89.48,85.83,99.12,87.31,85.5
89.2,85.84,97.01,87.03,85.88
89.15,85.76,97.07,87.31,85.41
92.0,85.68,96.6,87.16,85.71
89.84,85.79,97.27,87.82,85.39
89.41,87.89,96.5,88.76,85.44
89.14,85.88,96.97,87.49,85.58
89.3,86.3,96.59,87.6,85.9
92.31,86.02,96.63,87.28,85.46
89.57,85.72,97.08,87.1,85.49
89.86,85.71,96.67,87.14,85.67
89.16,86.12,96.54,86.97,85.23
89.24,86.24,96.57,87.06,85.55
90.41,85.88,96.5,87.37,85.77
89.57,85.62,96.81,87.06,85.34
89.47,85.65,96.75,86.91,85.53
89.78,85.5,96.7,87.13,87.65
90.15,85.82,96.8,87.22,85.5
89.28,86.03,96.86,88.13,85.37
91.47,85.91,96.36,87.16,85.31
90.0,85.78,96.94,87.03,87.0
89.5,86.19,96.68,86.97,87.84
89.28,85.82,97.46,87.15,85.92
89.26,86.06,97.33,86.97,87.2
89.3,85.75,96.93,87.08,85.75
89.98,87.46,96.56,87.3,85.66
90.75,86.55,97.83,87.12,85.19
89.2,85.74,96.46,87.14,85.32
89.19,85.93,96.88,87.35,85.59
89.05,85.8,98.23,87.08,85.56
89.56,85.88,97.76,86.9,85.23
91.49,86.8,96.55,87.03,85.33
89.38,86.53,99.45,87.58,85.75
89.77,85.97,96.82,87.15,85.99
89.27,85.88,97.42,86.94,85.42
89.23,85.77,96.84,87.94,86.4
89.27,85.84,97.61,87.3,85.32
89.51,86.17,97.02,88.07,85.4
89.39,86.01,98.15,86.98,85.5
89.11,85.94,103.88,87.09,85.56
89.36,85.77,97.16,86.73,86.65
89.3,85.57,96.96,87.05,85.72
91.48,85.96,97.39,87.61,85.48
89.4,86.02,96.45,87.02,85.41
89.29,86.02,102.85,87.39,85.52
89.22,85.59,97.03,87.36,85.39
89.22,85.62,97.07,89.74,85.31
89.25,85.41,96.39,87.17,85.51
92.05,88.57,97.1,87.02,86.56
89.9,85.87,99.03,87.35,85.56
89.56,85.81,96.9,87.2,85.3
89.23,85.69,96.62,87.23,85.42
89.35,85.95,96.75,86.94,85.53
89.17,85.49,96.86,87.06,85.61
89.23,87.46,96.64,87.03,85.5
89.85,86.09,97.24,86.89,85.6
90.05,86.03,96.11,87.13,85.41
89.67,85.88,96.92,87.34,85.63
89.37,85.97,98.94,87.12,85.36
92.89,85.64,97.11,87.1,85.5
89.32,88.61,97.22,87.02,85.64
89.84,86.16,96.43,87.06,85.71
89.27,86.02,3681.08,88.16,85.48
89.37,85.98,97.02,87.08,85.47
89.14,85.92,96.93,87.43,85.46
90.12,85.87,96.76,87.23,85.33
89.4,85.82,96.6,87.14,85.55
89.67,85.87,96.58,86.9,85.63
89.86,85.91,97.27,3671.1,85.64
89.14,85.77,96.91,87.12,85.43
89.49,85.71,96.79,87.12,86.31
89.52,85.68,96.7,86.94,85.8
3673.34,86.5,96.85,86.96,85.7
89.16,85.92,96.47,86.94,85.54
89.24,85.89,96.57,87.07,85.4
89.75,85.79,97.67,88.08,85.29
89.55,86.27,96.74,87.55,86.24
89.84,85.81,96.85,86.77,85.69
89.79,86.49,97.26,87.03,85.47
88.95,86.31,97.23,87.13,85.26
88.98,86.1,96.57,87.25,85.42
89.52,88.0,96.64,88.31,85.5
89.27,85.9,96.59,87.25,87.57
89.11,85.83,96.8,87.08,85.36
89.35,85.72,101.18,86.97,85.33
89.36,85.82,98.04,86.93,85.45
90.92,85.86,96.73,88.46,85.96
89.3,85.86,96.74,87.15,85.55
89.36,85.72,96.87,86.93,85.51
89.43,85.7,97.25,86.92,3669.9
89.17,3669.59,96.93,86.92,85.29
89.36,85.88,96.6,86.94,85.54
89.88,86.39,97.62,87.19,85.3
90.22,85.91,97.25,87.19,85.46
89.18,85.58,96.91,87.07,85.58
89.2,85.76,99.18,87.2,85.6
89.4,85.77,96.52,87.09,85.94
89.06,85.81,98.01,87.02,86.18
89.9,85.76,96.75,87.38,85.51
89.66,85.91,96.71,87.51,85.52
89.27,85.96,96.77,87.08,85.42
89.31,86.2,96.88,86.96,85.46
89.02,85.84,96.62,87.02,85.58
89.24,87.43,98.89,86.94,85.45
91.61,86.11,99.98,88.08,85.43
89.29,86.0,97.58,86.99,85.29
90.75,85.77,96.24,87.29,85.31
89.48,85.79,96.39,86.8,85.75
89.34,85.72,96.44,87.21,85.39
89.12,85.73,99.04,87.16,85.23
89.17,85.86,96.78,87.78,86.7
89.22,85.88,96.29,87.34,85.42
89.41,85.99,96.77,86.97,85.55
89.33,85.54,98.52,86.82,85.34
89.04,85.86,97.06,87.18,85.46
88.83,85.99,96.37,86.94,85.36
90.09,85.9,99.8,87.32,85.35
89.43,85.98,96.82,87.31,85.55
89.35,86.09,96.43,87.03,87.55
90.91,86.08,97.1,87.36,85.51
89.14,86.0,96.49,87.47,85.36
89.13,86.94,96.42,87.46,85.31
89.36,85.81,96.23,86.96,85.48
89.75,86.06,96.85,87.36,85.37
89.24,85.93,98.79,87.21,86.06
91.82,86.19,96.61,86.75,85.42
88.86,85.68,96.56,86.93,85.52
89.32,85.87,95.91,86.75,85.49
89.75,86.14,96.79,87.1,85.43
89.72,86.41,96.75,87.58,85.46
89.33,85.69,96.61,87.22,85.44
89.16,85.83,96.51,86.86,85.72
89.44,85.89,96.08,86.79,85.36
89.35,85.82,96.26,86.74,85.44
89.39,86.33,97.56,88.97,85.44
89.11,85.88,97.21,87.14,85.6
88.82,85.8,96.51,87.17,87.69
89.23,85.85,96.73,86.92,85.4
88.92,87.44,96.77,87.24,85.28
89.21,86.06,96.48,87.03,85.36
89.4,85.84,96.86,87.5,85.46
89.3,85.95,96.07,87.05,85.5
89.64,85.89,96.5,87.23,85.48
89.19,85.93,96.34,88.54,85.46
89.35,85.85,97.01,86.92,85.28
89.37,85.86,96.78,86.89,85.3
89.38,86.02,96.19,87.24,85.46
89.49,86.08,95.88,87.09,85.54
89.05,85.99,96.28,87.03,85.41
